id,marginal
355,6.45E-10
356,1.43E-09
357,3.01E-09
358,6.03E-09
359,1.15E-08
360,2.09E-08
361,3.60E-08
362,5.93E-08
363,9.31E-08
364,1.39E-07
365,2.00E-07
366,2.75E-07
367,3.66E-07
368,4.73E-07
369,6.04E-07
370,7.72E-07
371,1.00E-06
372,1.32E-06
373,1.79E-06
374,2.45E-06
375,3.35E-06
376,4.49E-06
377,5.87E-06
378,7.42E-06
379,9.02E-06
380,1.05E-05
381,1.19E-05
382,1.29E-05
383,1.38E-05
384,1.47E-05
385,1.59E-05
386,1.80E-05
387,2.14E-05
388,2.67E-05
389,3.41E-05
390,4.35E-05
391,5.44E-05
392,6.58E-05
393,7.66E-05
394,8.51E-05
395,9.04E-05
396,9.14E-05
397,8.80E-05
398,8.06E-05
399,7.03E-05
400,5.83E-05
401,4.60E-05
402,3.46E-05
403,2.47E-05
404,1.68E-05
405,1.08E-05
406,6.66E-06
407,3.90E-06
408,2.17E-06
409,1.15E-06
410,5.78E-07
411,2.77E-07
412,1.26E-07
413,5.46E-08
414,2.25E-08
415,7.80E-14
416,2.71E-13
417,8.94E-13
418,2.81E-12
419,8.38E-12
420,2.38E-11
421,6.44E-11
422,1.66E-10
423,4.05E-10
424,9.43E-10
425,2.09E-09
426,4.40E-09
427,8.81E-09
428,1.68E-08
429,3.05E-08
430,5.27E-08
431,8.67E-08
432,1.36E-07
433,2.03E-07
434,2.91E-07
435,4.00E-07
436,5.30E-07
437,6.83E-07
438,8.65E-07
439,1.09E-06
440,1.40E-06
441,1.82E-06
442,2.43E-06
443,3.28E-06
444,4.44E-06
445,5.92E-06
446,7.70E-06
447,9.70E-06
448,1.18E-05
449,1.37E-05
450,1.54E-05
451,1.67E-05
452,1.77E-05
453,1.87E-05
454,2.00E-05
455,2.22E-05
456,2.59E-05
457,3.17E-05
458,3.99E-05
459,5.05E-05
460,6.28E-05
461,7.57E-05
462,8.79E-05
463,9.76E-05
464,0.00010352
465,0.000104624
466,0.0001007
467,9.23E-05
468,8.04E-05
469,6.67E-05
470,5.27E-05
471,3.95E-05
472,2.82E-05
473,1.92E-05
474,1.24E-05
475,7.62E-06
476,4.46E-06
477,2.48E-06
478,1.31E-06
479,6.61E-07
480,3.16E-07
481,1.44E-07
482,6.24E-08
483,2.57E-08
484,1.13E-13
485,3.91E-13
486,1.29E-12
487,4.05E-12
488,1.21E-11
489,3.44E-11
490,9.29E-11
491,2.39E-10
492,5.85E-10
493,1.36E-09
494,3.01E-09
495,6.34E-09
496,1.27E-08
497,2.42E-08
498,4.40E-08
499,7.60E-08
500,1.25E-07
501,1.96E-07
502,2.93E-07
503,4.19E-07
504,5.75E-07
505,7.60E-07
506,9.75E-07
507,1.23E-06
508,1.53E-06
509,1.93E-06
510,2.48E-06
511,3.26E-06
512,4.35E-06
513,5.82E-06
514,7.71E-06
515,9.98E-06
516,1.25E-05
517,1.52E-05
518,1.76E-05
519,1.98E-05
520,2.14E-05
521,2.26E-05
522,2.36E-05
523,2.49E-05
524,2.71E-05
525,3.11E-05
526,3.73E-05
527,4.64E-05
528,5.80E-05
529,7.17E-05
530,8.61E-05
531,9.97E-05
532,0.000110599
533,0.000117166
534,0.000118348
535,0.000113867
536,0.000104298
537,9.09E-05
538,7.54E-05
539,5.95E-05
540,4.47E-05
541,3.19E-05
542,2.17E-05
543,1.40E-05
544,8.62E-06
545,5.04E-06
546,2.80E-06
547,1.48E-06
548,7.47E-07
549,3.58E-07
550,1.63E-07
551,7.06E-08
552,2.91E-08
553,1.60E-13
554,5.57E-13
555,1.84E-12
556,5.77E-12
557,1.72E-11
558,4.90E-11
559,1.32E-10
560,3.41E-10
561,8.33E-10
562,1.94E-09
563,4.29E-09
564,9.04E-09
565,1.81E-08
566,3.45E-08
567,6.27E-08
568,1.08E-07
569,1.78E-07
570,2.79E-07
571,4.18E-07
572,5.97E-07
573,8.17E-07
574,1.08E-06
575,1.38E-06
576,1.72E-06
577,2.13E-06
578,2.65E-06
579,3.36E-06
580,4.34E-06
581,5.72E-06
582,7.57E-06
583,9.95E-06
584,1.28E-05
585,1.60E-05
586,1.93E-05
587,2.24E-05
588,2.51E-05
589,2.71E-05
590,2.84E-05
591,2.95E-05
592,3.07E-05
593,3.29E-05
594,3.70E-05
595,4.36E-05
596,5.33E-05
597,6.60E-05
598,8.10E-05
599,9.69E-05
600,0.000111817
601,0.000123805
602,0.000131013
603,0.000132243
604,0.000127179
605,0.000116457
606,0.000101499
607,8.42E-05
608,6.64E-05
609,4.99E-05
610,3.56E-05
611,2.42E-05
612,1.56E-05
613,9.61E-06
614,5.62E-06
615,3.13E-06
616,1.66E-06
617,8.33E-07
618,3.99E-07
619,1.82E-07
620,7.87E-08
621,3.25E-08
622,2.26E-13
623,7.83E-13
624,2.59E-12
625,8.12E-12
626,2.43E-11
627,6.89E-11
628,1.86E-10
629,4.79E-10
630,1.17E-09
631,2.73E-09
632,6.04E-09
633,1.27E-08
634,2.55E-08
635,4.86E-08
636,8.82E-08
637,1.52E-07
638,2.51E-07
639,3.93E-07
640,5.87E-07
641,8.39E-07
642,1.15E-06
643,1.51E-06
644,1.92E-06
645,2.39E-06
646,2.93E-06
647,3.60E-06
648,4.50E-06
649,5.73E-06
650,7.44E-06
651,9.75E-06
652,1.27E-05
653,1.62E-05
654,2.02E-05
655,2.43E-05
656,2.82E-05
657,3.14E-05
658,3.39E-05
659,3.54E-05
660,3.65E-05
661,3.76E-05
662,3.97E-05
663,4.37E-05
664,5.06E-05
665,6.09E-05
666,7.44E-05
667,9.05E-05
668,0.00010773
669,0.000123952
670,0.000136957
671,0.000144743
672,0.000145979
673,0.000140313
674,0.000128438
675,0.000111913
676,9.28E-05
677,7.32E-05
678,5.50E-05
679,3.93E-05
680,2.67E-05
681,1.72E-05
682,1.06E-05
683,6.20E-06
684,3.45E-06
685,1.82E-06
686,9.18E-07
687,4.40E-07
688,2.00E-07
689,8.68E-08
690,3.58E-08
691,3.14E-13
692,1.09E-12
693,3.59E-12
694,1.13E-11
695,3.37E-11
696,9.58E-11
697,2.59E-10
698,6.66E-10
699,1.63E-09
700,3.79E-09
701,8.39E-09
702,1.77E-08
703,3.54E-08
704,6.76E-08
705,1.23E-07
706,2.12E-07
707,3.48E-07
708,5.46E-07
709,8.16E-07
710,1.16E-06
711,1.59E-06
712,2.09E-06
713,2.65E-06
714,3.28E-06
715,3.99E-06
716,4.86E-06
717,5.98E-06
718,7.51E-06
719,9.61E-06
720,1.24E-05
721,1.61E-05
722,2.04E-05
723,2.53E-05
724,3.03E-05
725,3.50E-05
726,3.90E-05
727,4.19E-05
728,4.37E-05
729,4.47E-05
730,4.57E-05
731,4.75E-05
732,5.14E-05
733,5.83E-05
734,6.89E-05
735,8.31E-05
736,0.000100223
737,0.000118536
738,0.000135861
739,0.000149749
740,0.000158014
741,0.000159202
742,0.000152922
743,0.000139917
744,0.00012188
745,0.000101045
746,7.97E-05
747,5.98E-05
748,4.27E-05
749,2.90E-05
750,1.88E-05
751,1.15E-05
752,6.74E-06
753,3.75E-06
754,1.99E-06
755,1.00E-06
756,4.79E-07
757,2.18E-07
758,9.45E-08
759,3.89E-08
760,4.31E-13
761,1.49E-12
762,4.93E-12
763,1.55E-11
764,4.63E-11
765,1.32E-10
766,3.56E-10
767,9.14E-10
768,2.24E-09
769,5.20E-09
770,1.15E-08
771,2.43E-08
772,4.86E-08
773,9.27E-08
774,1.68E-07
775,2.91E-07
776,4.78E-07
777,7.49E-07
778,1.12E-06
779,1.60E-06
780,2.18E-06
781,2.86E-06
782,3.62E-06
783,4.45E-06
784,5.38E-06
785,6.48E-06
786,7.88E-06
787,9.75E-06
788,1.23E-05
789,1.57E-05
790,2.01E-05
791,2.54E-05
792,3.13E-05
793,3.74E-05
794,4.31E-05
795,4.79E-05
796,5.13E-05
797,5.33E-05
798,5.43E-05
799,5.50E-05
800,5.64E-05
801,6.00E-05
802,6.67E-05
803,7.74E-05
804,9.21E-05
805,0.000109896
806,0.00012908
807,0.00014728
808,0.000161865
809,0.000170478
810,0.000171549
811,0.000164648
812,0.000150565
813,0.000131107
814,0.000108668
815,8.57E-05
816,6.43E-05
817,4.59E-05
818,3.12E-05
819,2.02E-05
820,1.24E-05
821,7.25E-06
822,4.03E-06
823,2.13E-06
824,1.07E-06
825,5.14E-07
826,2.34E-07
827,1.02E-07
828,4.19E-08
829,5.84E-13
830,2.03E-12
831,6.69E-12
832,2.10E-11
833,6.27E-11
834,1.78E-10
835,4.82E-10
836,1.24E-09
837,3.03E-09
838,7.06E-09
839,1.56E-08
840,3.29E-08
841,6.59E-08
842,1.26E-07
843,2.28E-07
844,3.94E-07
845,6.48E-07
846,1.02E-06
847,1.52E-06
848,2.16E-06
849,2.95E-06
850,3.86E-06
851,4.88E-06
852,5.98E-06
853,7.18E-06
854,8.57E-06
855,1.03E-05
856,1.26E-05
857,1.56E-05
858,1.97E-05
859,2.49E-05
860,3.12E-05
861,3.83E-05
862,4.55E-05
863,5.24E-05
864,5.81E-05
865,6.21E-05
866,6.44E-05
867,6.53E-05
868,6.56E-05
869,6.65E-05
870,6.95E-05
871,7.59E-05
872,8.65E-05
873,0.000101254
874,0.000119426
875,0.000139167
876,0.000157955
877,0.000173
878,0.000181795
879,0.000182665
880,0.000175143
881,0.000160056
882,0.000139309
883,0.000115431
884,9.10E-05
885,6.83E-05
886,4.88E-05
887,3.31E-05
888,2.14E-05
889,1.32E-05
890,7.70E-06
891,4.28E-06
892,2.27E-06
893,1.14E-06
894,5.46E-07
895,2.49E-07
896,1.08E-07
897,4.45E-08
898,7.82E-13
899,2.71E-12
900,8.96E-12
901,2.81E-11
902,8.40E-11
903,2.39E-10
904,6.45E-10
905,1.66E-09
906,4.06E-09
907,9.45E-09
908,2.09E-08
909,4.41E-08
910,8.83E-08
911,1.68E-07
912,3.06E-07
913,5.28E-07
914,8.68E-07
915,1.36E-06
916,2.03E-06
917,2.90E-06
918,3.95E-06
919,5.16E-06
920,6.50E-06
921,7.94E-06
922,9.49E-06
923,1.12E-05
924,1.33E-05
925,1.60E-05
926,1.97E-05
927,2.45E-05
928,3.06E-05
929,3.80E-05
930,4.64E-05
931,5.49E-05
932,6.30E-05
933,6.97E-05
934,7.44E-05
935,7.70E-05
936,7.77E-05
937,7.76E-05
938,7.79E-05
939,8.01E-05
940,8.59E-05
941,9.59E-05
942,0.000110516
943,0.000128701
944,0.000148626
945,0.00016766
946,0.00018288
947,0.000191657
948,0.000192227
949,0.000184089
950,0.000168094
951,0.000146224
952,0.000121115
953,9.55E-05
954,7.16E-05
955,5.11E-05
956,3.47E-05
957,2.24E-05
958,1.38E-05
959,8.07E-06
960,4.49E-06
961,2.38E-06
962,1.20E-06
963,5.73E-07
964,2.61E-07
965,1.13E-07
966,4.66E-08
967,1.03E-12
968,3.59E-12
969,1.18E-11
970,3.72E-11
971,1.11E-10
972,3.16E-10
973,8.53E-10
974,2.19E-09
975,5.37E-09
976,1.25E-08
977,2.77E-08
978,5.83E-08
979,1.17E-07
980,2.23E-07
981,4.04E-07
982,6.98E-07
983,1.15E-06
984,1.80E-06
985,2.69E-06
986,3.83E-06
987,5.22E-06
988,6.82E-06
989,8.57E-06
990,1.04E-05
991,1.24E-05
992,1.46E-05
993,1.71E-05
994,2.03E-05
995,2.46E-05
996,3.02E-05
997,3.73E-05
998,4.59E-05
999,5.56E-05
1000,6.56E-05
1001,7.50E-05
1002,8.27E-05
1003,8.82E-05
1004,9.11E-05
1005,9.17E-05
1006,9.10E-05
1007,9.04E-05
1008,9.18E-05
1009,9.66E-05
1010,0.00010588
1011,0.000119848
1012,0.000137631
1013,0.000157318
1014,0.000176205
1015,0.000191274
1016,0.000199802
1017,0.000199959
1018,0.000191211
1019,0.000174422
1020,0.000151626
1021,0.00012553
1022,9.89E-05
1023,7.42E-05
1024,5.30E-05
1025,3.60E-05
1026,2.32E-05
1027,1.43E-05
1028,8.36E-06
1029,4.65E-06
1030,2.46E-06
1031,1.24E-06
1032,5.93E-07
1033,2.70E-07
1034,1.17E-07
1035,4.83E-08
1036,1.35E-12
1037,4.69E-12
1038,1.55E-11
1039,4.86E-11
1040,1.45E-10
1041,4.12E-10
1042,1.11E-09
1043,2.87E-09
1044,7.01E-09
1045,1.63E-08
1046,3.61E-08
1047,7.61E-08
1048,1.52E-07
1049,2.91E-07
1050,5.28E-07
1051,9.12E-07
1052,1.50E-06
1053,2.35E-06
1054,3.51E-06
1055,5.00E-06
1056,6.82E-06
1057,8.89E-06
1058,1.12E-05
1059,1.36E-05
1060,1.60E-05
1061,1.87E-05
1062,2.18E-05
1063,2.55E-05
1064,3.05E-05
1065,3.69E-05
1066,4.51E-05
1067,5.50E-05
1068,6.60E-05
1069,7.75E-05
1070,8.83E-05
1071,9.72E-05
1072,0.000103434
1073,0.000106601
1074,0.000107022
1075,0.000105718
1076,0.000104266
1077,0.000104497
1078,0.000108111
1079,0.000116266
1080,0.000129225
1081,0.000146158
1082,0.000165147
1083,0.000183455
1084,0.00019801
1085,0.000206034
1086,0.000205651
1087,0.000196299
1088,0.000178843
1089,0.000155338
1090,0.00012853
1091,0.000101262
1092,7.59E-05
1093,5.42E-05
1094,3.68E-05
1095,2.38E-05
1096,1.46E-05
1097,8.55E-06
1098,4.76E-06
1099,2.52E-06
1100,1.27E-06
1101,6.07E-07
1102,2.77E-07
1103,1.20E-07
1104,4.95E-08
1105,1.75E-12
1106,6.05E-12
1107,2.00E-11
1108,6.27E-11
1109,1.87E-10
1110,5.32E-10
1111,1.44E-09
1112,3.70E-09
1113,9.04E-09
1114,2.10E-08
1115,4.66E-08
1116,9.81E-08
1117,1.97E-07
1118,3.75E-07
1119,6.81E-07
1120,1.18E-06
1121,1.94E-06
1122,3.03E-06
1123,4.53E-06
1124,6.46E-06
1125,8.79E-06
1126,1.15E-05
1127,1.44E-05
1128,1.74E-05
1129,2.05E-05
1130,2.38E-05
1131,2.74E-05
1132,3.18E-05
1133,3.75E-05
1134,4.48E-05
1135,5.40E-05
1136,6.52E-05
1137,7.77E-05
1138,9.07E-05
1139,0.000102909
1140,0.000113027
1141,0.000120057
1142,0.000123541
1143,0.00012377
1144,0.000121805
1145,0.000119311
1146,0.000118241
1147,0.000120416
1148,0.0001271
1149,0.000138639
1150,0.000154256
1151,0.000172064
1152,0.000189333
1153,0.000202987
1154,0.000210232
1155,0.000209168
1156,0.000199218
1157,0.000181229
1158,0.000157248
1159,0.000130018
1160,0.000102385
1161,7.68E-05
1162,5.48E-05
1163,3.72E-05
1164,2.40E-05
1165,1.48E-05
1166,8.64E-06
1167,4.81E-06
1168,2.54E-06
1169,1.28E-06
1170,6.14E-07
1171,2.80E-07
1172,1.21E-07
1173,5.02E-08
1174,2.23E-12
1175,7.72E-12
1176,2.55E-11
1177,7.99E-11
1178,2.39E-10
1179,6.78E-10
1180,1.83E-09
1181,4.71E-09
1182,1.15E-08
1183,2.68E-08
1184,5.94E-08
1185,1.25E-07
1186,2.51E-07
1187,4.78E-07
1188,8.68E-07
1189,1.50E-06
1190,2.47E-06
1191,3.87E-06
1192,5.77E-06
1193,8.23E-06
1194,1.12E-05
1195,1.46E-05
1196,1.83E-05
1197,2.21E-05
1198,2.60E-05
1199,3.00E-05
1200,3.43E-05
1201,3.93E-05
1202,4.57E-05
1203,5.39E-05
1204,6.43E-05
1205,7.67E-05
1206,9.07E-05
1207,0.000105178
1208,0.000118802
1209,0.000130113
1210,0.00013795
1211,0.000141756
1212,0.000141784
1213,0.000139121
1214,0.000135503
1215,0.000132983
1216,0.000133489
1217,0.000138383
1218,0.000148099
1219,0.000161935
1220,0.00017807
1221,0.000193829
1222,0.00020618
1223,0.000212357
1224,0.000210467
1225,0.000199919
1226,0.000181531
1227,0.00015731
1228,0.000129957
1229,0.000102277
1230,7.66E-05
1231,5.47E-05
1232,3.71E-05
1233,2.40E-05
1234,1.47E-05
1235,8.62E-06
1236,4.80E-06
1237,2.54E-06
1238,1.28E-06
1239,6.13E-07
1240,2.80E-07
1241,1.22E-07
1242,5.03E-08
1243,2.81E-12
1244,9.73E-12
1245,3.21E-11
1246,1.01E-10
1247,3.00E-10
1248,8.53E-10
1249,2.31E-09
1250,5.93E-09
1251,1.45E-08
1252,3.37E-08
1253,7.47E-08
1254,1.57E-07
1255,3.15E-07
1256,6.02E-07
1257,1.09E-06
1258,1.89E-06
1259,3.10E-06
1260,4.87E-06
1261,7.27E-06
1262,1.04E-05
1263,1.41E-05
1264,1.84E-05
1265,2.30E-05
1266,2.78E-05
1267,3.25E-05
1268,3.73E-05
1269,4.24E-05
1270,4.82E-05
1271,5.53E-05
1272,6.44E-05
1273,7.58E-05
1274,8.95E-05
1275,0.000104879
1276,0.000120838
1277,0.000135853
1278,0.000148327
1279,0.000156955
1280,0.00016108
1281,0.000160908
1282,0.000157532
1283,0.000152739
1284,0.000148658
1285,0.000147301
1286,0.000150118
1287,0.000157632
1288,0.000169237
1289,0.000183215
1290,0.000196996
1291,0.000207642
1292,0.000212458
1293,0.00020959
1294,0.000198439
1295,0.000179781
1296,0.000155551
1297,0.000128368
1298,0.000100954
1299,7.56E-05
1300,5.39E-05
1301,3.66E-05
1302,2.36E-05
1303,1.45E-05
1304,8.50E-06
1305,4.73E-06
1306,2.51E-06
1307,1.26E-06
1308,6.06E-07
1309,2.77E-07
1310,1.20E-07
1311,5.00E-08
1312,3.50E-12
1313,1.21E-11
1314,3.99E-11
1315,1.25E-10
1316,3.74E-10
1317,1.06E-09
1318,2.87E-09
1319,7.37E-09
1320,1.80E-08
1321,4.19E-08
1322,9.29E-08
1323,1.96E-07
1324,3.92E-07
